"ENTITY","PATHWAY"
"mmu:22239","M00067"
"mmu:53897","M00067"
"mmu:239559","M00068"
"mmu:26879","M00068"
"mmu:20454","M00069"
"mmu:20449","M00069"
"mmu:225742","M00069"
"mmu:108105","M00070"
"mmu:102637973","M00070"
"mmu:26877","M00070"
"mmu:26878","M00070"
"mmu:93961","M00070"
"mmu:108105","M00071"
"mmu:102637973","M00071"
"mmu:14595","M00071"
"mmu:53418","M00071"
"mmu:57370","M00071"
"mmu:56375","M00071"
"mmu:16430","M00072"
"mmu:68292","M00072"
"mmu:103963","M00072"
"mmu:20014","M00072"
"mmu:13135","M00072"
"mmu:80286","M00072"
"mmu:13200","M00072"
"mmu:57377","M00073"
"mmu:14376","M00073"
"mmu:227619","M00073"
"mmu:17155","M00073"
"mmu:17156","M00073"
"mmu:230815","M00073"
"mmu:14376","M00074"
"mmu:227619","M00074"
"mmu:17155","M00074"
"mmu:17156","M00074"
"mmu:230815","M00074"
"mmu:17158","M00075"
"mmu:140481","M00075"
"mmu:217664","M00075"
"mmu:17309","M00075"
"mmu:103534","M00075"
"mmu:269181","M00075"
"mmu:67555","M00075"
"mmu:107895","M00075"
"mmu:268510","M00075"
"mmu:67569","M00075"
"mmu:53618","M00075"
"mmu:14595","M00075"
"mmu:53418","M00075"
"mmu:57370","M00075"
"mmu:20440","M00075"
"mmu:240119","M00075"
"mmu:15931","M00076"
"mmu:15932","M00076"
"mmu:11881","M00076"
"mmu:20690","M00076"
"mmu:15586","M00076"
"mmu:15587","M00076"
"mmu:74468","M00076"
"mmu:77042","M00076"
"mmu:109685","M00076"
"mmu:74409","M00076"
"mmu:110006","M00076"
"mmu:11881","M00077"
"mmu:20690","M00077"
"mmu:15586","M00077"
"mmu:15587","M00077"
"mmu:74468","M00077"
"mmu:77042","M00077"
"mmu:109685","M00077"
"mmu:74409","M00077"
"mmu:110006","M00077"
"mmu:50917","M00077"
"mmu:15442","M00078"
"mmu:545291","M00078"
"mmu:15931","M00078"
"mmu:15932","M00078"
"mmu:27029","M00078"
"mmu:52120","M00078"
"mmu:27419","M00078"
"mmu:110006","M00078"
"mmu:75612","M00078"
"mmu:50917","M00079"
"mmu:12091","M00079"
"mmu:75612","M00079"
"mmu:15211","M00079"
"mmu:15212","M00079"
"mmu:107476","M00082"
"mmu:14104","M00082"
"mmu:223722","M00082"
"mmu:14104","M00083"
"mmu:71147","M00083"
"mmu:52538","M00085"
"mmu:231086","M00085"
"mmu:15107","M00085"
"mmu:93747","M00085"
"mmu:97212","M00085"
"mmu:26922","M00085"
"mmu:14081","M00086"
"mmu:50790","M00086"
"mmu:216739","M00086"
"mmu:74205","M00086"
"mmu:433256","M00086"
"mmu:328845","M00086"
"mmu:94180","M00086"
"mmu:78625","M00086"
"mmu:80911","M00087"
"mmu:11430","M00087"
"mmu:11364","M00087"
"mmu:11363","M00087"
"mmu:11370","M00087"
"mmu:93747","M00087"
"mmu:15107","M00087"
"mmu:74147","M00087"
"mmu:97212","M00087"
"mmu:52538","M00087"
"mmu:231086","M00087"
"mmu:113868","M00087"
"mmu:235674","M00087"
"mmu:110460","M00088"
"mmu:110446","M00088"
"mmu:208715","M00088"
"mmu:15360","M00088"
"mmu:15356","M00088"
"mmu:208982","M00088"
"mmu:69772","M00088"
"mmu:71911","M00088"
"mmu:14732","M00089"
"mmu:215456","M00089"
"mmu:102247","M00089"
"mmu:231510","M00089"
"mmu:55979","M00089"
"mmu:67512","M00089"
"mmu:28169","M00089"
"mmu:68262","M00089"
"mmu:52123","M00089"
"mmu:225010","M00089"
"mmu:218121","M00089"
"mmu:67216","M00089"
"mmu:19012","M00089"
"mmu:50784","M00089"
"mmu:67916","M00089"
"mmu:14245","M00089"
"mmu:64899","M00089"
"mmu:64898","M00089"
"mmu:71910","M00089"
"mmu:381925","M00089"
"mmu:13350","M00089"
"mmu:67800","M00089"
"mmu:12660","M00090"
"mmu:12651","M00090"
"mmu:13026","M00090"
"mmu:236899","M00090"
"mmu:212862","M00090"
"mmu:99712","M00090"
"mmu:18618","M00091"
"mmu:75320","M00092"
"mmu:214253","M00092"
"mmu:12660","M00092"
"mmu:12651","M00092"
"mmu:68671","M00092"
"mmu:28042","M00092"
"mmu:99712","M00092"
"mmu:74596","M00093"
"mmu:110911","M00093"
"mmu:320951","M00093"
"mmu:20773","M00094"
"mmu:268656","M00094"
"mmu:228677","M00094"
"mmu:70750","M00094"
"mmu:545975","M00094"
"mmu:76893","M00094"
"mmu:93898","M00094"
"mmu:67260","M00094"
"mmu:241447","M00094"
"mmu:71949","M00094"
"mmu:70059","M00094"
"mmu:13244","M00094"
"mmu:619326","M00094"
"mmu:110460","M00095"
"mmu:110446","M00095"
"mmu:208715","M00095"
"mmu:15360","M00095"
"mmu:15357","M00095"
"mmu:17855","M00095"
"mmu:68603","M00095"
"mmu:192156","M00095"
"mmu:319554","M00095"
"mmu:320581","M00095"
"mmu:102635781","M00095"
"mmu:319554","M00096"
"mmu:320581","M00096"
"mmu:102635781","M00096"
"mmu:12613","M00098"
"mmu:66853","M00098"
"mmu:116939","M00098"
"mmu:69060","M00098"
"mmu:18946","M00098"
"mmu:18947","M00098"
"mmu:15450","M00098"
"mmu:67717","M00098"
"mmu:16891","M00098"
"mmu:23945","M00098"
"mmu:20773","M00099"
"mmu:268656","M00099"
"mmu:228677","M00099"
"mmu:70750","M00099"
"mmu:545975","M00099"
"mmu:76893","M00099"
"mmu:93898","M00099"
"mmu:67260","M00099"
"mmu:241447","M00099"
"mmu:71949","M00099"
"mmu:70059","M00099"
"mmu:13244","M00099"
"mmu:619326","M00099"
"mmu:230379","M00099"
"mmu:171168","M00099"
"mmu:11886","M00099"
"mmu:54447","M00099"
"mmu:56632","M00100"
"mmu:20698","M00100"
"mmu:20397","M00100"
"mmu:16987","M00101"
"mmu:13121","M00101"
"mmu:73166","M00101"
"mmu:66234","M00101"
"mmu:18194","M00101"
"mmu:15490","M00101"
"mmu:74754","M00101"
"mmu:13595","M00101"
"mmu:235293","M00101"
"mmu:13360","M00101"
"mmu:235293","M00102"
"mmu:244209","M00103"
"mmu:13115","M00103"
"mmu:13122","M00104"
"mmu:101502","M00104"
"mmu:13124","M00104"
"mmu:208665","M00104"
"mmu:104086","M00104"
"mmu:26459","M00104"
"mmu:17117","M00104"
"mmu:93732","M00104"
"mmu:15488","M00104"
"mmu:20280","M00104"
"mmu:170789","M00104"
"mmu:26459","M00106"
"mmu:12012","M00106"
"mmu:13070","M00107"
"mmu:15495","M00107"
"mmu:15496","M00107"
"mmu:15493","M00107"
"mmu:15492","M00107"
"mmu:15497","M00107"
"mmu:100043456","M00107"
"mmu:13079","M00108"
"mmu:13072","M00108"
"mmu:110115","M00108"
"mmu:110115","M00108"
"mmu:13074","M00109"
"mmu:13079","M00109"
"mmu:13072","M00109"
"mmu:110115","M00109"
"mmu:15483","M00109"
"mmu:15484","M00109"
"mmu:13074","M00110"
"mmu:15495","M00110"
"mmu:15496","M00110"
"mmu:15493","M00110"
"mmu:15492","M00110"
"mmu:15497","M00110"
"mmu:100043456","M00110"
"mmu:13075","M00110"
"mmu:80911","M00113"
"mmu:11430","M00113"
"mmu:113868","M00113"
"mmu:235674","M00113"
"mmu:14751","M00114"
"mmu:110119","M00114"
"mmu:54128","M00114"
"mmu:29858","M00114"
"mmu:331026","M00114"
"mmu:69080","M00114"
"mmu:67375","M00115"
"mmu:74080","M00115"
"mmu:66454","M00115"
"mmu:226518","M00115"
"mmu:78914","M00115"
"mmu:14629","M00118"
"mmu:14630","M00118"
"mmu:14854","M00118"
"mmu:12035","M00119"
"mmu:12036","M00119"
"mmu:269614","M00120"
"mmu:211347","M00120"
"mmu:74450","M00120"
"mmu:75735","M00120"
"mmu:106564","M00120"
"mmu:66812","M00120"
"mmu:71743","M00120"
"mmu:67417","M00121"
"mmu:107508","M00121"
"mmu:17025","M00121"
"mmu:15288","M00121"
"mmu:22276","M00121"
"mmu:22275","M00121"
"mmu:12892","M00121"
"mmu:19044","M00121"
"mmu:14151","M00121"
"mmu:77697","M00122"
"mmu:107272","M00124"
"mmu:103711","M00124"
"mmu:54391","M00125"
"mmu:319945","M00125"
"mmu:14528","M00126"
"mmu:11650","M00126"
"mmu:11648","M00126"
"mmu:11647","M00126"
"mmu:76768","M00126"
"mmu:13361","M00126"
"mmu:71883","M00128"
"mmu:230027","M00128"
"mmu:217707","M00128"
"mmu:52064","M00128"
"mmu:12850","M00128"
"mmu:230027","M00128"
"mmu:216558","M00129"
"mmu:22235","M00129"
"mmu:22238","M00129"
"mmu:22236","M00129"
"mmu:94284","M00129"
"mmu:94215","M00129"
"mmu:394434","M00129"
"mmu:394430","M00129"
"mmu:394432","M00129"
"mmu:394433","M00129"
"mmu:72094","M00129"
"mmu:552899","M00129"
"mmu:71773","M00129"
"mmu:394435","M00129"
"mmu:394436","M00129"
"mmu:100727","M00129"
"mmu:231396","M00129"
"mmu:100559","M00129"
"mmu:112417","M00129"
"mmu:243085","M00129"
"mmu:110006","M00129"
"mmu:16591","M00129"
"mmu:58810","M00129"
"mmu:19733","M00129"
"mmu:268756","M00129"
"mmu:224020","M00130"
"mmu:107650","M00130"
"mmu:84095","M00130"
"mmu:67073","M00130"
"mmu:18717","M00130"
"mmu:18719","M00130"
"mmu:18720","M00130"
"mmu:227733","M00130"
"mmu:18803","M00130"
"mmu:18799","M00130"
"mmu:72469","M00130"
"mmu:18802","M00130"
"mmu:18795","M00130"
"mmu:18797","M00130"
"mmu:18798","M00130"
"mmu:18796","M00130"
"mmu:234779","M00130"
"mmu:74055","M00130"
"mmu:114875","M00130"
"mmu:320404","M00130"
"mmu:228550","M00130"
"mmu:233011","M00130"
"mmu:19062","M00131"
"mmu:170835","M00131"
"mmu:212111","M00131"
"mmu:16329","M00131"
"mmu:269180","M00131"
"mmu:234515","M00131"
"mmu:114663","M00131"
"mmu:55980","M00131"
"mmu:242291","M00131"
"mmu:217837","M00132"
"mmu:69718","M00132"
"mmu:75678","M00132"
"mmu:242669","M00133"
"mmu:75986","M00133"
"mmu:11702","M00133"
"mmu:100041585","M00133"
"mmu:20810","M00133"
"mmu:11846","M00134"
"mmu:11847","M00134"
"mmu:18263","M00134"
"mmu:332942","M00134"
"mmu:20229","M00135"
"mmu:69215","M00135"
"mmu:17161","M00135"
"mmu:109731","M00135"
"mmu:11669","M00135"
"mmu:11671","M00135"
"mmu:72535","M00135"
"mmu:110695","M00135"
"mmu:56752","M00135"
"mmu:20425","M00140"
"mmu:108037","M00140"
"mmu:20425","M00141"
"mmu:108037","M00141"
"mmu:108156","M00141"
"mmu:17768","M00141"
"mmu:665563","M00141"
"mmu:270685","M00141"
"mmu:17716","M00142"
"mmu:17717","M00142"
"mmu:17718","M00142"
"mmu:17719","M00142"
"mmu:17720","M00142"
"mmu:17721","M00142"
"mmu:17722","M00142"
"mmu:227197","M00143"
"mmu:226646","M00143"
"mmu:68349","M00143"
"mmu:17993","M00143"
"mmu:595136","M00143"
"mmu:407785","M00143"
"mmu:75406","M00143"
"mmu:225887","M00143"
"mmu:17995","M00143"
"mmu:72900","M00143"
"mmu:78330","M00143"
"mmu:54405","M00146"
"mmu:17991","M00146"
"mmu:66091","M00146"
"mmu:17992","M00146"
"mmu:407790","M00146"
"mmu:68202","M00146"
"mmu:67130","M00146"
"mmu:66416","M00146"
"mmu:68375","M00146"
"mmu:66108","M00146"
"mmu:67273","M00146"
"mmu:70316","M00146"
"mmu:69875","M00146"
"mmu:66414","M00146"
"mmu:67184","M00146"
"mmu:68198","M00147"
"mmu:66495","M00147"
"mmu:68194","M00147"
"mmu:100042503","M00147"
"mmu:100041273","M00147"
"mmu:66046","M00147"
"mmu:230075","M00147"
"mmu:66916","M00147"
"mmu:67264","M00147"
"mmu:66218","M00147"
"mmu:68342","M00147"
"mmu:104130","M00147"
"mmu:66377","M00147"
"mmu:68197","M00147"
"mmu:66052","M00148"
"mmu:66925","M00148"
"mmu:66945","M00148"
"mmu:67680","M00148"
"mmu:17711","M00151"
"mmu:66445","M00151"
"mmu:66694","M00151"
"mmu:17711","M00152"
"mmu:66445","M00152"
"mmu:66694","M00152"
"mmu:22273","M00152"
"mmu:67003","M00152"
"mmu:66576","M00152"
