"ENTITY","PATHWAY"
"140248","R-MMU-556833"
"140248","R-MMU-9018678"
"140248","R-MMU-9018683"
"140248","R-MMU-9025094"
"140248","R-MMU-9026286"
"140250","R-MMU-1430728"
"140250","R-MMU-556833"
"140250","R-MMU-9018678"
"140250","R-MMU-9027604"
"140258","R-MMU-1430728"
"140258","R-MMU-556833"
"140258","R-MMU-9018678"
"140258","R-MMU-9018683"
"140258","R-MMU-9025094"
"140258","R-MMU-9026290"
"140268","R-MMU-1430728"
"140268","R-MMU-556833"
"140268","R-MMU-9018677"
"140268","R-MMU-9018678"
"140268","R-MMU-9026395"
"140268","R-MMU-9026766"
"140296","R-MMU-2022377"
"140296","R-MMU-2980736"
"140296","R-MMU-392499"
"140420","R-MMU-109582"
"140420","R-MMU-140875"
"140420","R-MMU-140877"
"140421","R-MMU-109582"
"140421","R-MMU-140875"
"140421","R-MMU-140877"
"140427","R-MMU-109582"
"140427","R-MMU-140837"
"140427","R-MMU-140875"
"140427","R-MMU-140877"
"140472","R-MMU-109582"
"140472","R-MMU-140837"
"140472","R-MMU-140875"
"140472","R-MMU-140877"
"140876","R-MMU-1430728"
"140876","R-MMU-71387"
"140876","R-MMU-9033658"
"140876","R-MMU-9037629"
"140878","R-MMU-1430728"
"140878","R-MMU-71387"
"140878","R-MMU-9033658"
"140878","R-MMU-9037629"
"140910","R-MMU-1430728"
"140910","R-MMU-71387"
"140910","R-MMU-9033658"
"140910","R-MMU-9037629"
"140911","R-MMU-1430728"
"140911","R-MMU-71387"
"140911","R-MMU-9033658"
"140911","R-MMU-9037629"
"140912","R-MMU-1430728"
"140912","R-MMU-71387"
"140912","R-MMU-9033658"
"140912","R-MMU-9037629"
"140913","R-MMU-1430728"
"140913","R-MMU-71387"
"140913","R-MMU-9033658"
"140913","R-MMU-9037629"
"140916","R-MMU-1430728"
"140916","R-MMU-71387"
"140916","R-MMU-9033658"
"140916","R-MMU-9037629"
"140917","R-MMU-1430728"
"140917","R-MMU-71387"
"140917","R-MMU-9033658"
"140917","R-MMU-9037629"
"140918","R-MMU-1430728"
"140918","R-MMU-71387"
"140918","R-MMU-9033658"
"140918","R-MMU-9037629"
"140919","R-MMU-1430728"
"140919","R-MMU-71387"
"140919","R-MMU-9033658"
"140919","R-MMU-9037629"
"141346","R-MMU-162582"
"141346","R-MMU-372790"
"141346","R-MMU-373076"
"141346","R-MMU-375280"
"141346","R-MMU-390696"
"141346","R-MMU-500792"
"141520","R-MMU-2022377"
"141520","R-MMU-2980736"
"141520","R-MMU-392499"
"141521","R-MMU-2022377"
"141521","R-MMU-2980736"
"141521","R-MMU-392499"
"141522","R-MMU-2022377"
"141522","R-MMU-2980736"
"141522","R-MMU-392499"
"141552","R-MMU-162582"
"141552","R-MMU-372790"
"141552","R-MMU-373076"
"141552","R-MMU-375276"
"141552","R-MMU-500792"
"142077","R-MMU-162582"
"142077","R-MMU-372790"
"142077","R-MMU-373076"
"142077","R-MMU-375280"
"142077","R-MMU-390696"
"142077","R-MMU-500792"
"142418","R-MMU-162582"
"142418","R-MMU-372790"
"142418","R-MMU-373076"
"142418","R-MMU-375280"
"142418","R-MMU-390696"
"142418","R-MMU-500792"
"142437","R-MMU-109582"
"142437","R-MMU-140837"
"142437","R-MMU-140875"
"142437","R-MMU-140877"
"142452","R-MMU-162582"
"142452","R-MMU-372790"
"142452","R-MMU-373076"
"142452","R-MMU-375280"
"142452","R-MMU-390696"
"142452","R-MMU-500792"
"142614","R-MMU-110331"
"142614","R-MMU-73884"
"142614","R-MMU-73894"
"142614","R-MMU-73927"
"142614","R-MMU-73929"
"142623","R-MMU-110331"
"142623","R-MMU-73884"
"142623","R-MMU-73894"
"142623","R-MMU-73927"
"142623","R-MMU-73929"
"142773","R-MMU-162582"
"142773","R-MMU-8939211"
"142773","R-MMU-9006931"
"142773","R-MMU-9018519"
"14597","R-MMU-1430728"
"14597","R-MMU-156580"
"14597","R-MMU-156581"
"14597","R-MMU-211859"
"14649","R-MMU-1430728"
"14649","R-MMU-196807"
"14649","R-MMU-196849"
"14649","R-MMU-196854"
"14949","R-MMU-1430728"
"14949","R-MMU-389661"
"14949","R-MMU-6783984"
"14949","R-MMU-71291"
"151","R-MMU-1428517"
"151","R-MMU-1430728"
"151","R-MMU-196854"
"151","R-MMU-382551"
"151","R-MMU-389542"
"151","R-MMU-71403"
"151","R-MMU-71406"
"151","R-MMU-8978934"
"151","R-MMU-917937"
"15266","R-MMU-1430728"
"15266","R-MMU-1474151"
"15266","R-MMU-196741"
"15266","R-MMU-196849"
"15266","R-MMU-196854"
"15266","R-MMU-8978934"
"15343","R-MMU-1430728"
"15343","R-MMU-1483206"
"15343","R-MMU-1483213"
"15343","R-MMU-1483257"
"15343","R-MMU-193048"
"15343","R-MMU-196071"
"15343","R-MMU-211859"
"15343","R-MMU-211897"
"15343","R-MMU-211945"
"15343","R-MMU-211981"
"15343","R-MMU-211999"
"15343","R-MMU-556833"
"15343","R-MMU-71336"
"15343","R-MMU-71384"
"15343","R-MMU-71387"
"15343","R-MMU-8957322"
"15344","R-MMU-1430728"
"15344","R-MMU-382551"
"15344","R-MMU-425366"
"15344","R-MMU-425407"
"15344","R-MMU-433692"
"15344","R-MMU-556833"
"15344","R-MMU-74182"
"15344","R-MMU-77108"
"15344","R-MMU-77111"
"15345","R-MMU-1430728"
"15345","R-MMU-191273"
"15345","R-MMU-556833"
"15345","R-MMU-74182"
"15345","R-MMU-77108"
"15345","R-MMU-77111"
"15345","R-MMU-77286"
"15345","R-MMU-77289"
"15345","R-MMU-77352"
"15345","R-MMU-8957322"
"15345","R-MMU-8978868"
"15346","R-MMU-112310"
"15346","R-MMU-112315"
