"KEGG","OTHERID"
"mmu:100312485","A0A494B935"
"mmu:100312948","B3GLJ4"
"mmu:100312949","B3GLJ5"
"mmu:100312956","B3GLJ3"
"mmu:100312986","E9Q4V7"
"mmu:100312987","E9Q658"
"mmu:100317","Q8K135"
"mmu:100322896","E9PZX1"
"mmu:100328588","O09046"
"mmu:100328588","D3Z4E0"
"mmu:100336","Q8R3G1"
"mmu:100340","P58242"
"mmu:100340","Q3TLX9"
"mmu:100342","Q8C152"
"mmu:100383","Q80Y55"
"mmu:100384868","O88689"
"mmu:100384868","Q8K492"
"mmu:100415785","Q9D3H7"
"mmu:100416706","Q80VN4"
"mmu:100434","Q6X893"
"mmu:100463512","J3QJY3"
"mmu:100465","Q8BJG4"
"mmu:100465","B1ASD4"
"mmu:100470","B1ARV3"
"mmu:100494","Q9JII7"
"mmu:100502590","Q9D5B7"
"mmu:100502698","Q80U62"
"mmu:100502723","Q9JJL0"
"mmu:100502736","G3UYD9"
"mmu:100502766","Q9QWT9"
"mmu:100502803","A0PK51"
"mmu:100502825","Q9D823"
"mmu:100502831","J3QJV4"
"mmu:100502841","Q80TA9"
"mmu:100502861","D3YV10"
"mmu:100502861","Q3TYG3"
"mmu:100502865","A2A4M0"
"mmu:100502876","E9Q7U0"
"mmu:100502887","Q5NC44"
"mmu:100502921","J3KMP7"
"mmu:100502936","Q8BW45"
"mmu:100502940","F8VPY8"
"mmu:100502950","J3QMQ6"
"mmu:100502953","J3QK64"
"mmu:100502967","Q9CVY0"
"mmu:100502967","G3UXD1"
"mmu:100503036","J3QM76"
"mmu:100503041","E9Q9W7"
"mmu:100503043","E9PWM3"
"mmu:100503185","D3YUB6"
"mmu:100503240","Q3UHV4"
"mmu:100503311","Q9D9W1"
"mmu:100503353","A2BDM8"
"mmu:100503355","D3Z0W3"
"mmu:100503361","P0DJF3"
"mmu:100503386","Q8C013"
"mmu:100503388","J3QMD1"
"mmu:100503486","J3KMV2"
"mmu:100503545","D3YY21"
"mmu:100503549","K7N6A0"
"mmu:100503572","J3QMK2"
"mmu:100503583","Q8BKE5"
"mmu:100503584","A2A7A1"
"mmu:100503605","P02088"
"mmu:100503605","A8DUK4"
"mmu:100503609","A0A1B0GSK3"
"mmu:100503659","Q66L44"
"mmu:100503670","P47962"
"mmu:100503670","Q58EU6"
"mmu:100503710","B2RVA4"
"mmu:100503733","Q8C9W1"
"mmu:100503879","D3YVJ1"
"mmu:100503884","F6V035"
"mmu:100503890","P0DJE0"
"mmu:100503895","Q02844"
"mmu:100503895","A1Z090"
"mmu:100503915","D6MZJ6"
"mmu:100503949","A2BE20"
"mmu:100503970","Q5ERI8"
"mmu:100503991","D3YTS9"
"mmu:100503992","Q4QY32"
"mmu:100504014","F6ZR08"
"mmu:100504112","J3QPU5"
"mmu:100504156","J3QNB7"
"mmu:100504162","E9PXD1"
"mmu:100504164","B7ZP21"
"mmu:100504183","A2A5X5"
"mmu:100504195","Q9D5U9"
"mmu:100504232","D3YYJ7"
"mmu:100504234","F6ST92"
"mmu:100504239","P86792"
"mmu:100504239","P86793"
"mmu:100504263","A2ARL4"
"mmu:100504285","G3UZN6"
"mmu:100504323","Q8BNC4"
"mmu:100504346","P86792"
"mmu:100504346","P86793"
"mmu:100504362","P84444"
"mmu:100504400","J3QPF7"
"mmu:100504404","P04224"
"mmu:100504404","P14439"
"mmu:100504404","A0A290WGA7"
"mmu:100504429","B1B0R2"
"mmu:100504446","F6TNE3"
"mmu:100504474","J3QMJ4"
"mmu:100504491","J3KML0"
"mmu:100504518","D3Z1D3"
"mmu:100504608","D3YWP0"
"mmu:100504663","Q8CDJ3"
"mmu:100504689","J3QM92"
"mmu:100504710","Q9JIY8"
"mmu:100504715","D3Z286"
"mmu:100505096","Q8C1N9"
"mmu:100505386","A0A088MLT8"
"mmu:100515","J3QPN0"
"mmu:100529082","A7VMS2"
"mmu:100532","Q8K2J7"
"mmu:100534273","P0DM40"
"mmu:100534273","M1JB80"
"mmu:100534273","M1INE8"
"mmu:100534273","M1JB08"
"mmu:100535","Q8VI95"
"mmu:100535","Q3UXA2"
"mmu:100554","Q8C6S1"
"mmu:100559","Q91WH2"
"mmu:100561","Q91W98"
"mmu:100604","Q8R502"
"mmu:100608","Q8BHY2"
"mmu:100609","Q8K4F6"
"mmu:100637","Q3V2Q8"
"mmu:100647","Q80YF6"
"mmu:100647","A0A0R4J0S8"
"mmu:100678","Q99LS3"
"mmu:100683","E9QLK7"
"mmu:100689","Q8BMS2"
"mmu:100702","A0A0G2JDV3"
"mmu:100702","Q3U8G5"
"mmu:100705","E9Q4Z2"
"mmu:100705","Q3UHC8"
"mmu:100705","Q9ESZ3"
"mmu:100710","Q4VA53"
"mmu:100715","Q91YI6"
"mmu:100727","Q8K154"
"mmu:100732","Q6PER3"
"mmu:100732","Q2UZW7"
"mmu:100737","Q8CCA0"
"mmu:100756","Q3UN04"
"mmu:100763","Q80U95"
"mmu:100764","Q9D1H0"
"mmu:100855","Q8CGA2"
"mmu:100855","E9Q8K4"
"mmu:100855","Q5U224"
"mmu:100859931","F8WIA3"
"mmu:100861615","Q8C7R2"
"mmu:100861623","Q4TU90"
"mmu:100861640","Q9D3I8"
"mmu:100861667","J3QPK8"
"mmu:100861668","Q8C646"
"mmu:100861691","A0A087WRK1"
"mmu:100861753","Q3T9V6"
"mmu:100861755","A0A0G2JGJ6"
"mmu:100861821","Q9D9T3"
"mmu:100861880","J3QP73"
"mmu:100861891","J3QP73"
"mmu:100861898","A0A1Y7VJE9"
"mmu:100861899","J3QQ23"
"mmu:100861901","J3QP73"
"mmu:100861908","F6YNI8"
"mmu:100861909","Q4FZE8"
"mmu:100861966","Q99N64"
"mmu:100861966","A0A0R4J2B9"
"mmu:100861978","Q9Z1X0"
"mmu:100861987","Q9D3U4"
"mmu:100862042","Q3TTD8"
"mmu:100862067","J3QML3"
"mmu:100862088","A0A571BDE3"
"mmu:100862115","J3QK78"
"mmu:100862118","A0A571BDE3"
"mmu:100862126","K9J724"
"mmu:100862177","P86792"
"mmu:100862177","P86793"
"mmu:100862192","A0A0J9YU88"
"mmu:100862245","D3YUJ6"
"mmu:100862247","A2APU9"
"mmu:100862274","A0A571BG45"
"mmu:100862314","E9PWJ8"
"mmu:100862323","J3QN64"
"mmu:100862324","C0HKD1"
"mmu:100862324","C0HKD2"
"mmu:100862324","C0HKD3"
"mmu:100862329","Q99N64"
"mmu:100862329","A0A140T8Q5"
"mmu:100862341","J3QML3"
"mmu:100862345","J3QP49"
"mmu:100862349","A0A0G2JE01"
"mmu:100862359","G3UY31"
"mmu:100862365","O35698"
"mmu:100862368","A0A0G2JGR8"
"mmu:100862369","A2BFZ7"
"mmu:100862371","Q5FWB5"
"mmu:100862383","J3QK27"
"mmu:100862389","A0A571BG86"
"mmu:100862394","O35698"
"mmu:100862398","O35698"
"mmu:100862446","Q9CPX4"
"mmu:100862455","P62830"
"mmu:100862468","Q9D0T1"
"mmu:100900","Q8K3A0"
"mmu:100900","A0A0R4J0T0"
"mmu:100910","Q3UU43"
"mmu:100929","Q8BJM7"
"mmu:100952","Q99K41"
"mmu:100972","Q99KL7"
"mmu:100972","Q3TWY9"
"mmu:100986","Q70FJ1"
"mmu:100986","E9QQ10"
"mmu:101023","Q6PD29"
"mmu:101055671","D3YY49"
"mmu:101055864","A0A140LJ87"
"mmu:101056073","B1AVN5"
"mmu:101056308","Q9D9T3"
"mmu:101095","E9PVC2"
"mmu:101100","A4Q9E5"
"mmu:101113","Q3UR97"
"mmu:101118","Q91VX9"
"mmu:101122","Q14AI6"
"mmu:101142","Q91WI7"
"mmu:101148","Q8BXK4"
"mmu:101185","Q91WC1"
"mmu:101187","Q8CFF0"
"mmu:101197","Q3UZY6"
"mmu:101197","Q4VA54"
"mmu:101197","Q8BR38"
"mmu:101202","Q4VAH7"
"mmu:101206","Q8R0L9"
"mmu:101214","A0A0N4SVC2"
"mmu:101240","Q7TMQ7"
"mmu:101314","Q91VR8"
"mmu:101320","Q8BI55"
"mmu:101351","Q8BYW9"
"mmu:101358","Q8BID8"
"mmu:101359","B2RU40"
"mmu:101401","E9PYV8"
"mmu:101434","A0A0B4J1L0"
"mmu:101437","Q8BZS9"
"mmu:101471","A6H619"
"mmu:101476","Q8BUL6"
"mmu:101488","Q8BXB6"
"mmu:101488143","P02088"
"mmu:101488143","A8DUK4"
"mmu:101488212","Q8VD58"
"mmu:101489","Q3TIR3"
"mmu:101490","Q8CDA1"
"mmu:101490","B2RQ14"
"mmu:101497","Q6KAU7"
"mmu:101497","G5E8T4"
"mmu:101502","Q9EQC1"
"mmu:101513","Q8VI63"
"mmu:101533","Q32M27"
"mmu:101540","Q8BZ03"
"mmu:101543","Q7TQJ8"
"mmu:101544","Q3TXZ1"
"mmu:101544","B2RX29"
"mmu:101565","Q7TSH4"
"mmu:101568","Q8K3G5"
"mmu:101568","Q3TAR6"
"mmu:101592","Q8C0D5"
"mmu:101602","Q8C708"
"mmu:101604","E9PZQ8"
"mmu:101612","Q810D6"
"mmu:101612","Q5XJZ3"
"mmu:101613","Q91WS2"
"mmu:101631","Q14AS8"
"mmu:101631","Q3TYY8"
"mmu:101685","Q68FG3"
"mmu:101700","A0A1B0GSL9"
"mmu:101706","E9Q7G0"
"mmu:101739","Q99JF8"
"mmu:101744","Q8BX37"
"mmu:101744","B2RRA7"
"mmu:101772","Q8BHY3"
"mmu:101772","G8JL82"
"mmu:101809","Q6P6N5"
"mmu:101809","A0A0R4J0K0"
"mmu:101831","Q8BHL6"
"mmu:101835","Q3TPQ7"
"mmu:101861","Q8CIM8"
"mmu:101867","Q9DB85"
"mmu:101869","Q99KD5"
"mmu:101883","Q3U4N7"
"mmu:101943","Q921M3"
"mmu:101943","B2RSV4"
"mmu:101966","Q8R1F0"
"mmu:101985","Q91W78"
"mmu:101985","A0A0R4J0E0"
"mmu:101994","Q8K327"
"mmu:102022","Q8QZR3"
"mmu:102032","Q80ZU4"
"mmu:102058","Q6PGF7"
"mmu:102060","Q9CR59"
"mmu:102075","F8VPS6"
"mmu:102093","Q7TSH2"
"mmu:102098","Q6P9R4"
"mmu:102103","Q5HZI1"
"mmu:102103","A0A0R4J1L9"
"mmu:102115","Q99LN9"
"mmu:102122","Q91WE2"
"mmu:102124","Q7TSV9"
"mmu:102141","Q3ZT31"
"mmu:102162","Q91WQ5"
"mmu:102182","Q3U3W5"
"mmu:102182","F8WIU7"
"mmu:102193","Q91WU6"
"mmu:102209","Q91XA5"
"mmu:102216272","Q8VCP8"
"mmu:102247","Q8K2C8"
"mmu:102278","Q0VE82"
"mmu:102294","Q9DBW0"
"mmu:102294","B2RSR0"
"mmu:102308570","A0A087WPA0"
"mmu:102323","Q8BZJ7"
"mmu:102334","Q99LW0"
"mmu:102334","Q8BG46"
"mmu:102339","Q8R1U1"
"mmu:102339","Q7TSQ9"
"mmu:102371","Q3UIJ9"
"mmu:102414","O35492"
"mmu:102423","Q8K1K9"
"mmu:102436","Q8VDC0"
"mmu:102442","E9Q8V6"
"mmu:102443350","Q8BRU2"
"mmu:102443350","E9PVR2"
"mmu:102443351","F8VQM8"
"mmu:102448","Q3TNA1"
"mmu:102448","Q3TMS3"
"mmu:102462","Q921Y2"
"mmu:102502","Q3V0K9"
"mmu:102502","Q3V3X1"
"mmu:102545","Q9ESD6"
"mmu:102566","Q8BH79"
"mmu:102570","Q6A4L0"
"mmu:102577428","A8R0T9"
"mmu:102580","Q8VDI9"
"mmu:102595","Q8K124"
"mmu:102607","Q6P4T1"
"mmu:102614","Q91WE3"
"mmu:102626","Q3UMW7"
"mmu:102631730","Q5SQK8"
"mmu:102632","Q80XL6"
"mmu:102632","A0A0R4J0I6"
"mmu:102632113","L7N299"
