"KEGG","OTHERID"
"mmu:100041958","XP_017171810"
"mmu:100041964","XP_011243136"
"mmu:100041979","NP_001156382"
"mmu:100042013","XP_030107478"
"mmu:100042024","NP_001361160"
"mmu:100042054","XP_030103998"
"mmu:100042055","NP_001231600"
"mmu:100042065","NP_001170819"
"mmu:100042074","XP_006526483"
"mmu:100042100","NP_001361072"
"mmu:100042109","NP_001092795"
"mmu:100042110","XP_030107467"
"mmu:100042129","XP_017171813"
"mmu:100042144","NP_001094080"
"mmu:100042149","NP_001019883"
"mmu:100042150","NP_001161363"
"mmu:100042159","NP_001229940"
"mmu:100042165","NP_001160053"
"mmu:100042168","NP_001229930"
"mmu:100042175","NP_001092817"
"mmu:100042182","XP_011243125"
"mmu:100042201","XP_017174264"
"mmu:100042235","XP_030104024"
"mmu:100042254","NP_001093113"
"mmu:100042268","XP_011249384"
"mmu:100042275","NP_001229953"
"mmu:100042279","XP_017174248"
"mmu:100042295","NP_001230021"
"mmu:100042304","XP_011243143"
"mmu:100042314","NP_001116132"
"mmu:100042337","XP_017174256"
"mmu:100042342","NP_001091739"
"mmu:100042417","XP_030107468"
"mmu:100042428","NP_001153608"
"mmu:100042437","NP_001160307"
"mmu:100042450","NP_001128224"
"mmu:100042475","XP_011249386"
"mmu:100042480","NP_001157082"
"mmu:100042493","NP_035465"
"mmu:100042499","NP_001361579"
"mmu:100042503","XP_001478493"
"mmu:100042514","NP_001296311"
"mmu:100042555","NP_001092818"
"mmu:100042565","XP_011249349"
"mmu:100042578","XP_030107469"
"mmu:100042591","NP_001098532"
"mmu:100042594","NP_001360810"
"mmu:100042636","NP_001098536"
"mmu:100042653","NP_001098538"
"mmu:100042669","XP_011249388"
"mmu:100042688","XP_001479019"
"mmu:100042690","NP_001257352"
"mmu:100042698","XP_011242237"
"mmu:100042715","NP_001171060"
"mmu:100042761","NP_001157203"
"mmu:100042776","NP_001171035"
"mmu:100042781","NP_001098542"
"mmu:100042782","NP_001092796"
"mmu:100042784","NP_001171007"
"mmu:100042786","NP_001159534"
"mmu:100042807","NP_001242984"
"mmu:100042810","NP_001098545"
"mmu:100042840","NP_001106866"
"mmu:100042848","NP_001098543"
"mmu:100042849","NP_001257447"
"mmu:100042855","NP_001268399"
"mmu:100042856","NP_001229968"
"mmu:100042874","NP_001257439"
"mmu:100042881","NP_001257440"
"mmu:100042891","NP_001098621"
"mmu:100042894","NP_001098546"
"mmu:100042921","NP_001098649"
"mmu:100042922","NP_001104507"
"mmu:100042927","NP_001229876"
"mmu:100042929","NP_001229878"
"mmu:100042931","NP_001229879"
"mmu:100042939","NP_001229880"
"mmu:100042943","NP_001229881"
"mmu:100042944","NP_001229882"
"mmu:100042945","XP_030102890"
"mmu:100042946","NP_001229883"
"mmu:100042960","XP_030104110"
"mmu:100042964","NP_001160630"
"mmu:100042968","NP_001160308"
"mmu:100042971","NP_001160633"
"mmu:100042976","NP_001160635"
"mmu:100042996","NP_001160309"
"mmu:100043013","NP_001160310"
"mmu:100043016","NP_001160311"
"mmu:100043019","NP_001160637"
"mmu:100043025","NP_001160639"
"mmu:100043029","NP_001160641"
"mmu:100043033","NP_001160621"
"mmu:100043034","NP_001171238"
"mmu:100043037","NP_001161045"
"mmu:100043043","NP_001160631"
"mmu:100043051","NP_001160312"
"mmu:100043057","NP_001095110"
"mmu:100043058","NP_001160632"
"mmu:100043061","NP_001160634"
"mmu:100043067","NP_001160313"
"mmu:100043079","NP_001160636"
"mmu:100043083","NP_001160638"
"mmu:100043088","NP_001160640"
"mmu:100043101","NP_001160314"
"mmu:100043103","NP_001160315"
"mmu:100043108","NP_001097995"
"mmu:100043123","NP_001095126"
"mmu:100043125","NP_001095127"
"mmu:100043133","NP_795975"
"mmu:100043188","NP_001139579"
"mmu:100043194","NP_033312"
"mmu:100043200","NP_001159416"
"mmu:100043207","XP_011238675"
"mmu:100043216","NP_001093916"
