"KEGG","OTHERID"
"mmu:100043456","100043456"
"mmu:100043461","100043461"
"mmu:100043467","100043467"
"mmu:100043468","100043468"
"mmu:100043474","100043474"
"mmu:100043497","100043497"
"mmu:100043523","100043523"
"mmu:100043536","100043536"
"mmu:100043566","100043566"
"mmu:100043569","100043569"
"mmu:100043596","100043596"
"mmu:100043597","100043597"
"mmu:100043604","100043604"
"mmu:100043614","100043614"
"mmu:100043617","100043617"
"mmu:100043627","100043627"
"mmu:100043629","100043629"
"mmu:100043638","100043638"
"mmu:100043645","100043645"
"mmu:100043665","100043665"
"mmu:100043667","100043667"
"mmu:100043684","100043684"
"mmu:100043686","100043686"
"mmu:100043688","100043688"
"mmu:100043721","100043721"
"mmu:100043757","100043757"
"mmu:100043772","100043772"
"mmu:100043809","100043809"
"mmu:100043811","100043811"
"mmu:100043813","100043813"
"mmu:100043814","100043814"
"mmu:100043827","100043827"
"mmu:100043836","100043836"
"mmu:100043842","100043842"
"mmu:100043856","100043856"
"mmu:100043860","100043860"
"mmu:100043861","100043861"
"mmu:100043864","100043864"
"mmu:100043868","100043868"
"mmu:100043899","100043899"
"mmu:100043914","100043914"
"mmu:100043915","100043915"
"mmu:100043918","100043918"
"mmu:100043920","100043920"
"mmu:100043921","100043921"
"mmu:100044068","100044068"
"mmu:100044193","100044193"
"mmu:100044509","100044509"
"mmu:100044627","100044627"
"mmu:100045026","100045026"
"mmu:100045125","100045125"
"mmu:100045778","100045778"
"mmu:100045792","100045792"
"mmu:100046078","100046078"
"mmu:100046950","100046950"
"mmu:100047671","100047671"
"mmu:100048185","100048185"
"mmu:100048534","100048534"
"mmu:100048644","100048644"
"mmu:100048658","100048658"
"mmu:100048884","100048884"
"mmu:100049545","100049545"
"mmu:100049546","100049546"
"mmu:100049547","100049547"
"mmu:100049548","100049548"
"mmu:100049549","100049549"
"mmu:100049710","100049710"
"mmu:100049711","100049711"
"mmu:100049712","100049712"
"mmu:100049713","100049713"
"mmu:100049714","100049714"
"mmu:100049715","100049715"
"mmu:100061","100061"
"mmu:100066","100066"
"mmu:100072","100072"
"mmu:100073351","100073351"
"mmu:100087","100087"
"mmu:100088","100088"
"mmu:100090","100090"
"mmu:100101806","100101806"
"mmu:100101807","100101807"
"mmu:100101919","100101919"
"mmu:100102","100102"
"mmu:100113364","100113364"
"mmu:100113398","100113398"
"mmu:100121","100121"
"mmu:100124431","100124431"
"mmu:100124432","100124432"
"mmu:100124433","100124433"
"mmu:100124435","100124435"
"mmu:100124437","100124437"
"mmu:100124438","100124438"
"mmu:100124439","100124439"
"mmu:100124440","100124440"
"mmu:100124441","100124441"
"mmu:100124442","100124442"
"mmu:100124443","100124443"
"mmu:100124445","100124445"
"mmu:100124446","100124446"
"mmu:100124447","100124447"
"mmu:100124448","100124448"
"mmu:100124449","100124449"
"mmu:100124450","100124450"
"mmu:100124451","100124451"
"mmu:100124452","100124452"
"mmu:100124453","100124453"
"mmu:100124456","100124456"
"mmu:100124457","100124457"
"mmu:100124458","100124458"
"mmu:100124459","100124459"
"mmu:100124460","100124460"
"mmu:100124461","100124461"
"mmu:100124462","100124462"
"mmu:100124463","100124463"
"mmu:100124464","100124464"
"mmu:100124465","100124465"
"mmu:100124466","100124466"
"mmu:100124467","100124467"
"mmu:100124468","100124468"
"mmu:100124469","100124469"
"mmu:100124470","100124470"
"mmu:100124471","100124471"
"mmu:100124473","100124473"
"mmu:100124474","100124474"
"mmu:100124475","100124475"
"mmu:100124476","100124476"
"mmu:100124478","100124478"
"mmu:100124479","100124479"
"mmu:100124480","100124480"
"mmu:100124481","100124481"
"mmu:100124482","100124482"
"mmu:100124483","100124483"
"mmu:100124484","100124484"
"mmu:100124485","100124485"
"mmu:100124486","100124486"
