KEGG	OTHERID	OTHERTYPE
C00765	11024-24-1	CAS
C00766	487-26-3	CAS
C00768	4998-57-6	CAS
C00768	71-00-1	CAS
C00770	1114-17-6	CAS
C00771	9008-22-4	CAS
C00772	541-07-1	CAS
C00773	26305-03-3	CAS
C00774	60-82-2	CAS
C00777	302-79-4	CAS
C00778	9009-81-8	CAS
C00779	49598-85-8	CAS
C00780	50-67-9	CAS
C00783	532-24-1	CAS
C00785	104-98-3	CAS
C00786	158112-50-6	CAS
C00788	51-43-4	CAS
C00789	3506-17-0	CAS
C00791	60-27-5	CAS
C00792	157-06-2	CAS
C00793	921-01-7	CAS
C00794	50-70-4	CAS
C00795	87-81-0	CAS
C00796	66-76-2	CAS
C00797	75-04-7	CAS
C00800	526-97-6	CAS
C00802	585-05-7	CAS
C00803	109-52-4	CAS
C00804	471-25-0	CAS
C00805	69-72-7	CAS
C00806	54-12-6	CAS
C00808	464-49-3	CAS
C00808	76-22-2	CAS
C00809	464-48-2	CAS
C00810	53584-56-8	CAS
C00811	501-98-4	CAS
C00811	7400-08-0	CAS
C00813	67-52-7	CAS
C00814	491-80-5	CAS
C00815	2306-22-1	CAS
C00816	9001-12-1	CAS
C00818	87-73-0	CAS
C00819	5959-95-5	CAS
C00820	632-20-2	CAS
C00822	4430-97-1	CAS
C00823	36653-82-4	CAS
C00825	4696-76-8	CAS
C00826	53078-86-7	CAS
C00828	11032-49-8	CAS
C00829	91-20-3	CAS
C00830	473-90-5	CAS
C00831	496-65-1	CAS
C00832	7542-37-2	CAS
C00835	17094-01-8	CAS
C00836	764-22-7	CAS
C00837	85-17-6	CAS
C00840	11000-17-2	CAS
C00841	2009-24-7	CAS
C00842	2196-62-5	CAS
C00843	14073-97-3	CAS
C00844	99-18-3	CAS
C00846	689-31-6	CAS
C00847	82-82-6	CAS
C00848	70222-88-7	CAS
C00849	141-78-6	CAS
C00852	202650-88-2	CAS
C00852	327-97-9	CAS
C00853	18534-66-2	CAS
C00854	108-93-0	CAS
C00855	348-67-4	CAS
C00858	485-72-3	CAS
C00859	545-97-1	CAS
C00862	89873-36-9	CAS
C00864	79-83-4	CAS
C00870	100-02-7	CAS
C00872	1068-84-4	CAS
C00873	484-42-4	CAS
C00873	9041-90-1	CAS
C00876	64885-97-8	CAS
C00877	992-67-6	CAS
C00879	526-99-8	CAS
C00881	951-77-9	CAS
C00882	3633-59-8	CAS
C00884	3650-73-5	CAS
C00885	22642-82-6	CAS
C00887	10024-97-2	CAS
C00888	4752-33-4	CAS
C00894	5776-58-9	CAS
C00897	4482-75-1	CAS
C00898	87-69-4	CAS
C00899	22737-96-8	CAS
C00902	2492-75-3	CAS
C00903	104-55-2	CAS
C00906	696-04-8	CAS
C00908	26098-04-4	CAS
C00909	72059-45-1	CAS
C00913	5142-23-4	CAS
C00915	13096-46-3	CAS
C00916	61-24-5	CAS
C00918	56-75-7	CAS
C00919	4858-96-2	CAS
C00920	6477-52-7	CAS
C00922	488-21-1	CAS
C00925	9050-30-0	CAS
C00928	60-24-2	CAS
C00931	487-90-1	CAS
C00933	18696-26-9	CAS
C00936	3458-28-4	CAS
C00939	2096-10-8	CAS
C00940	18465-19-5	CAS
C00941	3616-08-8	CAS
C00942	7665-99-8	CAS
C00946	130-49-4	CAS
C00949	9048-78-6	CAS
C00950	6892-68-8	CAS
C00951	50-28-2	CAS
C00952	25422-31-5	CAS
C00954	87-51-4	CAS
C00955	526-55-6	CAS
C00956	542-32-5	CAS
C00957	2464-23-5	CAS
C00959	13345-51-2	CAS
C00961	10048-13-2	CAS
C00962	7296-64-2	CAS
C00969	2134-29-4	CAS
C00971	4753-19-9	CAS
C00974	480-20-6	CAS
C00975	133-38-0	CAS
C00977	20696-57-5	CAS
C00978	1210-83-9	CAS
C00979	5147-00-2	CAS
C00984	3646-73-9	CAS
C00986	109-76-2	CAS
C00989	591-81-1	CAS
C00992	13422-52-1	CAS
C00993	923-16-0	CAS
C00996	9035-39-6	CAS
C00997	9035-43-2	CAS
C01001	94483-60-0	CAS
C01004	535-83-1	CAS
C01005	407-41-0	CAS
C01008	676-84-6	CAS
C01010	625-78-5	CAS
C01012	599-04-2	CAS
C01013	503-66-2	CAS
C01014	2138-48-9	CAS
C01015	51-35-4	CAS
C01017	56-69-9	CAS
C01018	3615-37-0	CAS
C01019	2438-80-4	CAS
C01020	5006-66-6	CAS
C01023	128-46-1	CAS
C01024	73023-76-4	CAS
C01026	1118-68-9	CAS
C01029	13431-24-8	CAS
C01031	50409-81-9	CAS
C01036	5698-52-2	CAS
C01040	1128-23-0	CAS
C01044	19427-28-2	CAS
C01047	3081-61-6	CAS
C01051	1976-85-8	CAS
C01054	9029-62-3	CAS
C01059	5154-01-8	CAS
C01060	300-39-0	CAS
C01060	66-02-4	CAS
C01061	28613-33-4	CAS
C01066	504-02-9	CAS
C01073	3025-95-4	CAS
C01074	1811-31-0	CAS
C01077	7540-67-2	CAS
C01079	7412-77-3	CAS
C01083	99-20-7	CAS
C01089	3976-69-0	CAS
C01093	52762-22-8	CAS
C01094	15978-08-2	CAS
C01100	25679-93-0	CAS
C01101	2922-69-2	CAS
C01103	2149-82-8	CAS
C01104	1184-78-7	CAS
C01108	87-66-1	CAS
C01112	13137-52-5	CAS
C01114	51532-86-6	CAS
C01115	1668-08-2	CAS
C01118	1492-23-5	CAS
C01119	51621-02-4	CAS
C01120	19794-97-9	CAS
C01124	561-65-9	CAS
C01125	13031-04-4	CAS
C01126	106-28-5	CAS
C01132	14215-68-0	CAS
C01132	1811-31-0	CAS
C01146	2480-77-5	CAS
C01147	533-60-8	CAS
C01151	14689-84-0	CAS
C01152	368-16-1	CAS
C01157	51-35-4	CAS
C01158	554-37-0	CAS
C01161	102-32-9	CAS
C01162	10162-27-3	CAS
C01163	1116-26-3	CAS
C01164	434-16-2	CAS
C01168	1157-60-4	CAS
C01176	68-96-2	CAS
C01179	156-39-8	CAS
C01180	583-92-6	CAS
C01182	24218-00-6	CAS
C01188	2068-83-9	CAS
C01189	80-99-9	CAS
C01197	501-16-6	CAS
C01198	495-78-3	CAS
C01217	92481-94-2	CAS
C01220	74465-19-3	CAS
C01221	33014-54-9	CAS
C01227	53-43-0	CAS
C01231	10139-18-1	CAS
C01234	22059-21-8	CAS
C01245	85166-31-0	CAS
C01262	584-85-0	CAS
C01263	69393-95-9	CAS
C01265	2068-02-2	CAS
C01274	99451-79-3	CAS
C01279	73-67-6	CAS
C01312	35121-78-9	CAS
C01319	7439-97-6	CAS
C01324	7726-95-6	CAS
C01327	7647-01-0	CAS
C01330	7440-23-5	CAS
C01341	66701-25-5	CAS
C01349	80809-81-0	CAS
C01353	463-79-6	CAS
C01358	1336-21-6	CAS
C01359	79127-57-4	CAS
C01362	9009-86-3	CAS
C01367	84-21-9	CAS
C01368	35170-03-7	CAS
C01375	104987-11-3	CAS
C01378	20725-03-5	CAS
C01380	107-21-1	CAS
C01382	7553-56-2	CAS
C01384	110-16-7	CAS
C01386	26093-31-2	CAS
C01387	111-65-9	CAS
C01389	150-86-7	CAS
C01389	7541-49-3	CAS
C01390	556-82-1	CAS
C01394	25990-60-7	CAS
C01399	9012-36-6	CAS
C01401	302-72-7	CAS
C01403	100-66-3	CAS
C01405	50-78-2	CAS
C01407	71-43-2	CAS
C01408	119-53-9	CAS
C01410	7536-55-2	CAS
C01411	507-70-0	CAS
C01412	123-72-8	CAS
C01413	7440-43-9	CAS
C01414	24286-51-9	CAS
C01416	50-36-2	CAS
C01417	420-05-3	CAS
C01417	71000-82-3	CAS
C01418	14901-08-7	CAS
C01419	19246-18-5	CAS
C01420	923-32-0	CAS
C01421	486-55-5	CAS
C01424	149-91-7	CAS
C01425	3929-61-1	CAS
C01432	50-21-5	CAS
C01433	18524-94-2	CAS
C01438	74-82-8	CAS
C01441	3947-65-7	CAS
C01443	630-60-4	CAS
C01444	471-47-6	CAS
C01448	3774-64-9	CAS
C01449	72496-59-4	CAS
C01451	138-52-3	CAS
C01453	321-64-2	CAS
C01454	99-94-5	CAS
C01455	108-88-3	CAS
C01456	529-64-6	CAS
C01456	552-63-6	CAS
C01457	1401-69-0	CAS
C01460	3681-93-4	CAS
C01464	92-83-1	CAS
C01467	108-39-4	CAS
C01468	106-44-5	CAS
C01470	480-44-4	CAS
C01471	107-02-8	CAS
C01474	72-48-0	CAS
C01477	520-36-5	CAS
C01478	7778-39-4	CAS
C01479	51-55-8	CAS
C01481	331-39-5	CAS
C01484	94-41-7	CAS
C01485	7790-93-4	CAS
C01487	2595-97-3	CAS
C01488	639-97-4	CAS
C01489	25878-23-3	CAS
C01491	80295-65-4	CAS
C01493	4602-84-0	CAS
C01494	1135-24-6	CAS
C01499	141-27-5	CAS
C01499	5392-40-5	CAS
C01500	106-24-1	CAS
C01501	9007-92-5	CAS
C01502	90-05-1	CAS
C01504	83-33-0	CAS
C01505	342-10-9	CAS
C01507	488-45-9	CAS
C01508	1949-78-6	CAS
C01510	609-06-3	CAS
C01512	22255-40-9	CAS
C01513	67392-79-4	CAS
C01514	491-70-3	CAS
C01516	57-27-2	CAS
C01517	22204-53-1	CAS
C01518	497-48-3	CAS
C01520	9037-88-1	CAS
C01523	481-26-5	CAS
C01526	524-40-3	CAS
C01527	531-44-2	CAS
C01529	7782-49-2	CAS
C01530	57-11-4	CAS
C01531	38194-50-2	CAS
C01533	118-34-3	CAS
C01536	556-03-6	CAS
C01537	51-79-6	CAS
C01540	32988-50-4	CAS
C01541	81-81-2	CAS
C01542	95-48-7	CAS
C01545	124-13-0	CAS
C01546	88-14-2	CAS
C01548	74-86-2	CAS
C01550	2757-90-6	CAS
C01551	97-59-6	CAS
C01552	67655-94-1	CAS
C01552	69400-55-1	CAS
C01553	51264-14-3	CAS
C01554	24887-75-0	CAS
C01554	438-22-2	CAS
C01555	37321-09-8	CAS
C01557	484-20-8	CAS
C01559	12772-35-9	CAS
C01561	19356-17-3	CAS
C01562	20575-57-9	CAS
C01563	302-11-4	CAS
C01563	463-77-4	CAS
C01564	34675-84-8	CAS
C01566	420-04-2	CAS
C01567	2005-98-3	CAS
C01569	10592-17-3	CAS
C01570	328-38-1	CAS
C01571	334-48-5	CAS
C01572	536-08-3	CAS
C01574	74913-18-1	CAS
C01575	299-42-3	CAS
C01576	33419-42-0	CAS
C01582	26566-61-0	CAS
C01585	142-62-1	CAS
C01586	495-69-2	CAS
C01588	15687-27-1	CAS
C01589	288-32-4	CAS
C01590	40105-60-0	CAS
C01591	24365-47-7	CAS
C01592	61153-76-2	CAS
C01594	554-35-8	CAS
C01595	60-33-3	CAS
C01596	557-24-4	CAS
C01598	73-31-4	CAS
C01601	112-05-0	CAS
C01602	70-26-8	CAS
C01604	60-81-1	CAS
C01606	88-99-3	CAS
C01607	14721-66-5	CAS
C01608	36322-90-4	CAS
C01609	9012-00-4	CAS
C01610	53-79-2	CAS
C01613	10094-58-3	CAS
C01613	470-55-3	CAS
C01614	5329-14-6	CAS
C01616	33497-79-9	CAS
C01617	480-18-2	CAS
C01619	76721-89-6	CAS
C01620	7306-96-9	CAS
C01621	82964-04-3	CAS
C01624	59796-04-2	CAS
C01625	14116-69-9	CAS
C01626	2182-14-1	CAS
C01628	12001-79-5	CAS
C01630	6860-47-5	CAS
C01632	1160-54-9	CAS
C01633	112-30-1	CAS
C01657	840-97-1	CAS
C01659	79-06-1	CAS
C01661	23214-92-8	CAS
C01667	1405-87-4	CAS
C01672	462-94-2	CAS
C01673	32222-06-3	CAS
C01674	35061-50-8	CAS
C01675	82009-34-5	CAS
C01677	11033-22-0	CAS
C01678	60-23-1	CAS
C01682	22350-70-5	CAS
C01684	634-74-2	CAS
C01687	11032-98-7	CAS
C01690	15307-86-5	CAS
C01691	22494-42-4	CAS
C01692	97-77-8	CAS
C01694	57-87-4	CAS
C01695	9040-09-9	CAS
C01697	608-66-2	CAS
C01699	77-06-5	CAS
C01700	67076-74-8	CAS
C01701	57103-57-8	CAS
C01705	1071-83-6	CAS
C01708	9008-02-0	CAS
C01709	520-33-2	CAS
C01711	470-58-6	CAS
C01712	112-79-8	CAS
C01714	29702-25-8	CAS
C01714	38953-85-4	CAS
C01715	9001-01-8	CAS
C01716	22071-15-4	CAS
C01717	492-27-3	CAS
C01719	7776-48-9	CAS
C01720	26372-13-4	CAS
C01722	6706-59-8	CAS
C01723	11049-05-1	CAS
C01724	79-63-0	CAS
C01725	17669-60-2	CAS
C01727	1086-80-2	CAS
C01729	33983-40-3	CAS
C01732	498-24-8	CAS
C01733	59-51-8	CAS
C01736	550-33-4	CAS
C01737	119-04-0	CAS
C01739	63555-59-9	CAS
C01740	111-86-4	CAS
C01742	13718-94-0	CAS
C01742	15132-06-6	CAS
C01743	534-47-4	CAS
C01744	501-97-3	CAS
C01745	102-61-4	CAS
C01746	110-89-4	CAS
C01747	2238-90-6	CAS
C01748	85-66-5	CAS
C01750	522-12-3	CAS
C01751	108-46-3	CAS
C01752	92-61-5	CAS
C01753	83-46-5	CAS
C01754	8025-81-8	CAS
C01755	302-04-5	CAS
C01755	463-56-9	CAS
C01757	2140-49-0	CAS
C01759	25546-65-0	CAS
C01760	23526-45-6	CAS
C01761	6880-50-8	CAS
C01762	146-80-5	CAS
C01765	464-43-7	CAS
C01766	464-45-9	CAS
C01767	6485-40-1	CAS
C01768	9005-32-7	CAS
C01771	3724-65-0	CAS
C01772	614-60-8	CAS
C01775	1402-38-6	CAS
C01776	58814-86-1	CAS
C01779	54965-21-8	CAS
C01780	52-39-1	CAS
C01784	618-39-3	CAS
C01785	12385-08-9	CAS
C01789	474-62-4	CAS
C01790	11003-38-6	CAS
C01792	143-50-0	CAS
C01793	1406-65-1	CAS
C01795	3621-36-1	CAS
C01796	583-50-6	CAS
C01799	2013-12-9	CAS
C01799	498-18-0	CAS
C01801	533-67-5	CAS
C01802	313-04-2	CAS
C01804	69832-12-8	CAS
C01814	52-86-8	CAS
