Input ID	IDsource	Output ID	source of the output ID
C00414	KEGG	108-94-1	CAS registry number
C00415	KEGG	4033-27-6	CAS registry number
C00417	KEGG	585-84-2	CAS registry number
C00418	KEGG	17817-88-8	CAS registry number
C00423	KEGG	140-10-3	CAS registry number
C00424	KEGG	3913-64-2	CAS registry number
C00426	KEGG	24967-94-0	CAS registry number
C00427	KEGG	42935-17-1	CAS registry number
C00429	KEGG	504-07-4	CAS registry number
C00430	KEGG	106-60-5	CAS registry number
C00431	KEGG	660-88-8	CAS registry number
C00436	KEGG	6851-51-0	CAS registry number
C00437	KEGG	6205-08-9	CAS registry number
C00440	KEGG	134-35-0	CAS registry number
C00446	KEGG	2255-14-3	CAS registry number
C00447	KEGG	815-91-8	CAS registry number
C00448	KEGG	372-97-4	CAS registry number
C00449	KEGG	997-68-2	CAS registry number
C00451	KEGG	6061-97-8	CAS registry number
C00455	KEGG	1094-61-7	CAS registry number
C00458	KEGG	2056-98-6	CAS registry number
C00461	KEGG	1398-61-4	CAS registry number
C00463	KEGG	120-72-9	CAS registry number
C00464	KEGG	52002-03-6	CAS registry number
C00466	KEGG	513-86-0	CAS registry number
C00468	KEGG	53-16-7	CAS registry number
C00469	KEGG	64-17-5	CAS registry number
C00472	KEGG	106-51-4	CAS registry number
C00473	KEGG	11103-57-4	CAS registry number
C00473	KEGG	68-26-8	CAS registry number
C00474	KEGG	488-81-3	CAS registry number
C00475	KEGG	65-46-3	CAS registry number
C00476	KEGG	1114-34-7	CAS registry number
C00477	KEGG	3604-87-3	CAS registry number
C00478	KEGG	1402-10-4	CAS registry number
C00479	KEGG	123-38-6	CAS registry number
C00480	KEGG	9057-02-7	CAS registry number
C00481	KEGG	288-13-1	CAS registry number
C00482	KEGG	530-59-6	CAS registry number
C00483	KEGG	51-67-2	CAS registry number
C00486	KEGG	635-65-4	CAS registry number
C00487	KEGG	406-76-8	CAS registry number
C00488	KEGG	75-12-7	CAS registry number
C00489	KEGG	110-94-1	CAS registry number
C00490	KEGG	97-65-4	CAS registry number
C00491	KEGG	56-89-3	CAS registry number
C00492	KEGG	512-69-6	CAS registry number
C00493	KEGG	138-59-0	CAS registry number
C00494	KEGG	32385-11-8	CAS registry number
C00495	KEGG	519-57-3	CAS registry number
C00496	KEGG	60267-61-0	CAS registry number
C00497	KEGG	636-61-3	CAS registry number
C00499	KEGG	99-16-1	CAS registry number
C00500	KEGG	114-25-0	CAS registry number
C00502	KEGG	526-91-0	CAS registry number
C00503	KEGG	149-32-6	CAS registry number
C00504	KEGG	59-30-3	CAS registry number
C00505	KEGG	1403-66-3	CAS registry number
C00506	KEGG	13100-82-8	CAS registry number
C00507	KEGG	3615-41-6	CAS registry number
C00508	KEGG	2042-27-5	CAS registry number
C00509	KEGG	480-41-1	CAS registry number
C00511	KEGG	79-10-7	CAS registry number
C00512	KEGG	6756-74-7	CAS registry number
C00515	KEGG	348-66-3	CAS registry number
C00517	KEGG	629-80-1	CAS registry number
C00518	KEGG	9004-61-9	CAS registry number
C00519	KEGG	300-84-5	CAS registry number
C00521	KEGG	5989-54-8	CAS registry number
C00522	KEGG	470-29-1	CAS registry number
C00523	KEGG	53-41-8	CAS registry number
C00524	KEGG	9007-43-6	CAS registry number
C00525	KEGG	153-94-6	CAS registry number
C00526	KEGG	951-78-0	CAS registry number
C00527	KEGG	3131-84-8	CAS registry number
C00530	KEGG	123-31-9	CAS registry number
C00532	KEGG	7643-75-6	CAS registry number
C00533	KEGG	10102-43-9	CAS registry number
C00534	KEGG	85-87-0	CAS registry number
C00535	KEGG	58-22-0	CAS registry number
C00541	KEGG	14463-33-3	CAS registry number
C00542	KEGG	535-34-2	CAS registry number
C00543	KEGG	124-40-3	CAS registry number
C00544	KEGG	451-13-8	CAS registry number
C00545	KEGG	608-53-7	CAS registry number
C00546	KEGG	78-98-8	CAS registry number
C00547	KEGG	51-41-2	CAS registry number
C00548	KEGG	122-79-2	CAS registry number
C00551	KEGG	9041-22-9	CAS registry number
C00552	KEGG	147-73-9	CAS registry number
C00553	KEGG	2216-52-6	CAS registry number
C00556	KEGG	100-51-6	CAS registry number
C00557	KEGG	120-92-3	CAS registry number
C00559	KEGG	958-09-8	CAS registry number
C00561	KEGG	532-28-5	CAS registry number
C00563	KEGG	36357-77-4	CAS registry number
C00565	KEGG	75-50-3	CAS registry number
C00568	KEGG	150-13-0	CAS registry number
C00569	KEGG	9036-66-2	CAS registry number
C00570	KEGG	3036-18-8	CAS registry number
C00571	KEGG	108-91-8	CAS registry number
C00575	KEGG	60-92-4	CAS registry number
C00577	KEGG	367-47-5	CAS registry number
C00577	KEGG	453-17-8	CAS registry number
C00579	KEGG	3884-47-7	CAS registry number
C00580	KEGG	75-18-3	CAS registry number
C00581	KEGG	352-97-6	CAS registry number
C00583	KEGG	57-55-6	CAS registry number
C00584	KEGG	363-24-6	CAS registry number
C00586	KEGG	154-17-6	CAS registry number
C00587	KEGG	99-06-9	CAS registry number
C00588	KEGG	107-73-3	CAS registry number
C00590	KEGG	458-35-5	CAS registry number
C00593	KEGG	32797-12-9	CAS registry number
C00596	KEGG	159694-16-3	CAS registry number
C00599	KEGG	601-57-0	CAS registry number
C00601	KEGG	122-78-1	CAS registry number
C00604	KEGG	66-71-7	CAS registry number
C00606	KEGG	1115-65-7	CAS registry number
C00607	KEGG	9007-28-7	CAS registry number
C00611	KEGG	32181-59-2	CAS registry number
C00623	KEGG	5746-57-6	CAS registry number
C00624	KEGG	1188-37-0	CAS registry number
C00627	KEGG	447-05-2	CAS registry number
C00628	KEGG	490-79-9	CAS registry number
